Fecha Operación,NombrePlanta,TipoGeneracion
2025-03-19,AUTOG CORPACERO 1,Combustible fósil
2025-02-16,AUTOG LOS POCITOS 1,Combustible fósil
2024-10-29,AUTOG TERMOCOROCITO 1,Combustible fósil
2025-01-25,AUTOG BIODIANA 1,Combustible fósil
2024-12-15,AUTOG ENKA 1,Combustible fósil
2024-04-22,POWER PLANT DRUMMOND 1,Combustible fósil
2024-06-29,AUTOG TERMOMACAGUA 1,Combustible fósil
2024-03-21,TERMOCARIBE III 1,Combustible fósil
2021-08-14,AUTOG INGENIO MARIA LUISA 1,Combustible fósil
2021-03-04,AGPE INGENIO DE OCCIDENTE,Combustible fósil
2020-12-31,AGPE ENTREPALMAS,Combustible fósil
2020-02-28,AUTOG FERTICOL,Combustible fósil
2020-02-08,AUTOG TURGAS,Combustible fósil
2019-10-31,AUTOG CDS TM2500,Combustible fósil
2019-10-31,AUTOG TERMOSURIA,Combustible fósil
2021-02-11,TERMOYOPAL G5,Combustible fósil
2020-08-31,TERMOYOPAL G4,Combustible fósil
2020-08-31,TERMOYOPAL G3,Combustible fósil
2019-08-04,TERMOCAPACHOS 1,Combustible fósil
2018-02-02,TERMOMECHERO 6,Combustible fósil
2017-12-16,TERMOMECHERO 5,Combustible fósil
2018-02-02,TERMOMECHERO 4,Combustible fósil
2018-09-28,GECELCA 32,Combustible fósil
2017-10-10,PROENCA II 1,Combustible fósil
2016-04-29,DOÑA JUANA 1,Combustible fósil
2016-03-22,AUTOG YAGUARITO,Combustible fósil
2018-10-02,AUTOG ARGOS SOGAMOSO 1,Combustible fósil
2016-03-04,TERMOBOLIVAR 1,Combustible fósil
2015-11-30,TASAJERO 2,Combustible fósil
2014-11-25,PURIFICACION,Combustible fósil
2015-09-17,GECELCA 3,Combustible fósil
1999-12-30,TERMOPIEDRAS 1,Combustible fósil
1964-01-01,ZIPAEMG 2,Combustible fósil
1985-02-20,TASAJERO 1,Combustible fósil
1993-07-01,PROELECTRICA 2,Combustible fósil
1993-07-01,PROELECTRICA 1,Combustible fósil
1972-01-01,PALENQUE 3,Combustible fósil
1987-11-23,GUAJIRA 2,Combustible fósil
1965-01-01,TIBU 3,Combustible fósil
1965-01-01,TIBU 2,Combustible fósil
1965-01-01,TIBU 1,Combustible fósil
1995-07-20,RIOMAR 1,Combustible fósil
1995-07-20,PALENQUE 4,Combustible fósil
1971-01-01,LA UNION 4,Combustible fósil
1971-01-01,LA UNION 3,Combustible fósil
1971-01-01,LA UNION 2,Combustible fósil
1971-01-01,LA UNION 1,Combustible fósil
1972-01-01,EL RIO 8,Combustible fósil
1972-01-01,EL RIO 7,Combustible fósil
1995-07-20,CARTAGENA 1,Combustible fósil
2020-12-01,TERMOYOPAL 1,Combustible fósil
2004-07-29,TERMOYOPAL 2,Combustible fósil
2016-03-20,BARRANCA 1,Combustible fósil
1972-01-01,EL RIO 6,Combustible fósil
1972-01-01,EL RIO 5,Combustible fósil
1972-01-01,EL RIO 4,Combustible fósil
1972-01-01,EL RIO 3,Combustible fósil
1972-01-01,EL RIO 2,Combustible fósil
1972-01-01,EL RIO 1,Combustible fósil
1983-01-01,BALLENA 2,Combustible fósil
1983-01-01,BALLENA 1,Combustible fósil
2025-05-25,GD SAN MARTIN II,Solar
2025-05-11,GD SAN MARTIN,Solar
2025-04-05,ROKRA,Solar
2025-03-31,AUTOG MOLINOS SANTA MARTA,Solar
2025-03-31,AUTOG COMOLSA,Solar
2025-03-31,AUTOG QBCO,Solar
2025-05-02,GD NAOS III,Solar
2025-05-08,SOL Y CIELO VI,Solar
2025-03-31,SOLAR PALMASECA I,Solar
2025-02-28,MINIGRANJA LA RESERVA,Solar
2025-03-02,GD NAOS II,Solar
2025-05-08,SOL Y CIELO V,Solar
2025-04-07,MINIGRANJA LA PUYA,Solar
2025-02-01,PCH JULIO BRAVO,Hidráulica
2025-04-28,MINIGRANJA EL SON,Solar
2025-03-21,SOL Y CIELO IV,Solar
2025-03-07,SOL Y CIELO II,Solar
2025-03-07,SOL Y CIELO III,Solar
2025-01-25,GD DIOCESIS DE RIOHACHA,Solar
2025-04-16,MINIGRANJA EL MERENGUE,Solar
2024-12-31,MINIGRANJA VILLANUEVA,Solar
2025-04-30,PARQUE SOLAR BARANOA,Solar
2024-12-04,ECOPARQUE BRISAS,Solar
2025-02-04,AUTOG HIDROSOLAR I,Solar
2025-03-30,GD ERCO GUAMO IV,Solar
2025-03-30,GD ERCO GUAMO III,Solar
2025-03-30,GD ERCO GUAMO II,Solar
2025-04-26,GD ERCO GUAMO I,Solar
2024-12-28,GD BOCAS DEL PALO,Solar
2025-03-26,AUTOG CELSIA SOLAR TQ JAMUNDI,Solar
2024-11-25,GD EL ROBLE,Solar
2024-10-09,AUTOG SOLAR PALMIRA II BERRY,Solar
2024-12-02,MINIGRANJA LA PAZ LEYENDA,Solar
2025-01-18,MINIGRANJA LA PAZ VERSO,Solar
2024-10-30,GRANJA SOLAR PALMASECA II,Solar
2024-10-30,GRANJA SOLAR PALMASECA I,Solar
2025-02-26,MINIGRANJA LA PAZ ESMERALDA,Solar
2024-12-11,CENTRO SOLAR,Solar
2024-11-10,GD FINCA ISABEL LOPEZ,Solar
2024-09-16,GD FINCA JM,Solar
2024-11-18,GD ERCO SALDANA II,Solar
2024-11-18,GD ERCO SALDANA I,Solar
2024-10-21,AUTOG BIOS FINCA BUGA,Solar
2024-09-19,GD ERCO TOLDADO,Solar
2024-08-27,GD NAOS I,Solar
2024-09-29,AUTOG MILPA SAN CARLOS,Solar
2024-09-29,AUTOG UNIMINAS,Solar
2025-01-17,JUMI,Solar
2024-12-03,CELSIA SOLAR PUERTO TEJADA,Solar
2024-08-13,MINIGRANJA LA PAZ VALLENATA,Solar
2024-09-30,MINIGRANJA EL MOLINO,Solar
2024-11-04,AUTOG BIOS CIENAGA ORO,Solar
2024-05-24,AUTOG BIOS CONTEGRAL CARTAGO,Solar
2024-04-27,ECOPARQUE SOLAR BRISAS,Solar
2024-05-24,AUTOG BIOS CONTEGRAL NEIVA,Solar
2025-02-14,ROVIRA,Solar
2024-10-16,SOLAR OLD T,Solar
2024-03-24,CELSIA SOLAR ALUMINA,Solar
2024-09-16,LA INGLESA,Solar
2024-12-03,GD PALERMO,Solar
2024-05-19,GD CHICORAL,Solar
2024-02-16,GD LOS CHORROS,Solar
2024-02-22,GD EL BANCO,Solar
2024-08-28,GD CHIMBI,Solar
2024-03-14,GD LA URIBE,Solar
2024-03-14,GD LA HONDA,Solar
2024-02-22,GD ALFEREZ,Solar
2024-02-16,GD BASILICA,Solar
2024-02-22,GANDALF,Solar
2024-02-22,CANAHUATE,Solar
2024-12-20,CONDOR,Solar
2024-02-18,BARAYA,Solar
2024-04-27,SOLAR ALEJANDRIA,Solar
2024-02-27,MINIGRANJA SAN PEDRO,Solar
2024-10-04,JEQUES,Solar
2024-05-26,SOL Y CIELO I,Solar
2024-09-21,CELSIA SOLAR BUGALAGRANDE,Solar
2024-01-13,LA NENERA,Solar
2024-05-31,AUTOG EL COPEY,Solar
2024-09-20,GUAMO,Solar
2024-09-20,NUMBANA,Solar
2024-08-31,PARQUE SOLAR HONDA II,Solar
2023-12-28,PARQUE SOLAR HONDA I,Solar
2023-12-15,CAIMAN CIENAGUERO,Solar
2023-12-16,PETALO DE CORDOBA II,Solar
2024-06-12,PARQUE SOLAR TEPUY,Solar
2024-02-16,PARQUE SOLAR LA MENA,Solar
2024-03-11,PARQUE SOLAR VERSALLES,Solar
2024-03-11,PARQUE SOLAR DINAMARCA,Solar
2024-12-22,CARACOLI I,Solar
2024-09-27,BSB 504,Solar
2024-09-26,BSB 503,Solar
